STUDENT CODE,PAPER,CUES USED,DOI,MODALITY,,,REPRESENTATION,,,,DIMENSIONALITY,REFERENCE FRAME,,,TRIGGER,CONVEYED INFO,,,,,PURPOSE,,PHASES,MARKEDNESS,DOMAIN,STRONGEST RESPONSE,MEASURES,TAKEAWAYS,# OF SUBJECTS,EXTRA,,
,,Value-Encoded Labels,,Visual,,,Symbolic,Alphanumeric,,,2,Headcentric - Egocentric,Exocentric,,Context,Direction,Position,,,,Discover,,Multiple,Overlaid,Visual Search in AR,"Angle-encoded labels demonstrated the best overall performance and user satisfaction, particularly in tasks requiring spatial navigation and orientation.","Completion Time, Error Rates, & User Satisfaction",Beneficial for data comparison but less effective for spatial orientation tasks.,15,,,
,,Angle-Encoded Labels,,Visual,,,Symbolic,Alphanumeric,,,2,Headcentric - Egocentric,Exocentric,,Context,Direction,Position,,,,Discover,,Multiple,Overlaid,Visual Search in AR,"Angle-encoded labels demonstrated the best overall performance and user satisfaction, particularly in tasks requiring spatial navigation and orientation.","Completion Time, Error Rates, & User Satisfaction","Highly effective in providing clear, actionable directional cues; facilitated faster task completion and was preferred by users.",15,,,
15 - Brendan,LocatAR: An AR Object Search Assistance System for a Shared Space,Curve Visualization,https://doi.org/10.1145/3582700.3582712,Visual,,,Symbolic,,,,3,,Exocentric,,Persistent,Direction,Position,,,,Discover,,Single,Integrated,Office Space Search,"The curved visualization had a strong positive response, effectively reducing search time and improving user experience.","Search time, user experience (efficiency, anxiety, comfort, tiredness).","The curved visualization significantly improved the efficiency of the search process, reduced the anxiety and tiredness of users, and made the search experience more comfortable.",16,,,
16 - Brendan,Audio-visual AR to Improve Awareness of Hazard Zones Around Robots,Audio Boolean,https://doi.org/10.1145/3290607.3312996,Auditory,,,Symbolic,,,,,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Single,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference",Offered a constant and unobtrusive method to signify hazard zones. Progressive and stepped progressive cues were particularly effective in giving precise feedback about hazard proximity.,6,,,
,,Audio Progressive,,Auditory,,,Symbolic,,,,,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Multiple,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference",Offered a constant and unobtrusive method to signify hazard zones. Progressive and stepped progressive cues were particularly effective in giving precise feedback about hazard proximity.,6,,,
,,Audio Stepped Progressive,,Auditory,,,Symbolic,,,,,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Multiple,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference",Offered a constant and unobtrusive method to signify hazard zones. Progressive and stepped progressive cues were particularly effective in giving precise feedback about hazard proximity.,6,,,
,,Visual Boolean,,Visual,,,Symbolic,,,,3,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Single,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference","Provided clear and intuitive guidance through color changes, with stepped progressive cues offering distinct thresholds that enhance user comprehension of safety zones.",6,,,
,,Visual Progressive,,Visual,,,Symbolic,,,,3,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Multiple,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference","Provided clear and intuitive guidance through color changes, with stepped progressive cues offering distinct thresholds that enhance user comprehension of safety zones.",6,,,
,,Visual Stepped Progressive,,Visual,,,Symbolic,,,,3,Bodycentric - Egocentric,,,Context,,Position,,Transition,,Go,,Multiple,Integrated,Indication of Hazardous Conditions,"Based on the document, it appears that both auditory and visual cues were designed to be effectively equivalent in conveying hazard proximity, with stepped progressive versions of each likely being the most effective due to their clear demarcations of hazard proximity.","User Feedback, Attention Captured, Sense of Safety, Distance Conveyance, and Overall Preference","Provided clear and intuitive guidance through color changes, with stepped progressive cues offering distinct thresholds that enhance user comprehension of safety zones.",6,,,
17 - Brendan,cARe: an augmented reality support system for geriatric inpatients with mild cognitive impairment,In-Situ Instructions,https://doi.org/10.1145/3365610.3365612,Visual,,,Symbolic,Alphanumeric,,,3,Exocentric,,,Persistent,,Position,,,,Operate,,Single,Integrated,Medical: Designed to Assist Patients with Mild Cognitive Impairment,"The document does not provide a specific metric for the strongest response cue. However, it mentions that visual cues resulted in lower error rates compared to spatial audio cues in initial tests. Hence, visual cues can be inferred as the most effective based on this context.","Cooking Time, Number of Help Requests, NASA-TLX, & Performance Rating by Therapist",Visual cues were effective in reducing error rates and were preferred over spatial audio cues.,6,,,
,,Arrows,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,,,,Go,,Single,Integrated,Medical: Designed to Assist Patients with Mild Cognitive Impairment,"The document does not provide a specific metric for the strongest response cue. However, it mentions that visual cues resulted in lower error rates compared to spatial audio cues in initial tests. Hence, visual cues can be inferred as the most effective based on this context.","Cooking Time, Number of Help Requests, NASA-TLX, & Performance Rating by Therapist","Voice commands, while intuitive, required additional familiarization for patients.",6,,,
18 - Brendan,AroundArrow: Off-Screen POI visualization for handheld Augmented Reality in vertically dense regions,Halo3D,10.1109/ISMAR-Adjunct57072.2022.00119,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,Position,Proximity,,,Select,,Single,Overlaid,Mobile Search and Select,"The AroundArrow cue was found to significantly outperform Halo3D and Arrow2D in terms of selection time, overshoots, and error rates.","Selection Time, Overshoot, & Error Rates","Both Halo3D and Arrow2D provide basic guidance towards off-screen POIs but lack the sophisticated vertical differentiation that AroundArrow offers. Arrow2D, while simple, was more effective compared to Halo3D, which struggled with front-back disambiguation—a critical limitation in environments with vertical complexities.",16,,,
,,Arrow2D,,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Select,,Single,Overlaid,Mobile Search and Select,"The AroundArrow cue was found to significantly outperform Halo3D and Arrow2D in terms of selection time, overshoots, and error rates.","Selection Time, Overshoot, & Error Rates","Arrow2D performed better than Halo3D but was still outperformed by AroundArrow. It was more effective than Halo3D in terms of mean selection time and errors, suggesting that even simple 2D arrows can be more effective than halos for directional guidance.",16,,,
,,AroundArrow,,Visual,,,Symbolic,,,,3,Exocentric,Headcentric - Egocentric,,Persistent,Direction,,,,,Select,,Single,Overlaid,Mobile Search and Select,"The AroundArrow cue was found to significantly outperform Halo3D and Arrow2D in terms of selection time, overshoots, and error rates.","Selection Time, Overshoot, & Error Rates","Provides a clearer and more efficient means of indicating POI locations, particularly in terms of vertical differentiation and clutter management.",16,,,
19 - Brendan,Halo3D: a technique for visualizing off-screen points of interest in mobile augmented reality,Halo3D,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8088475,Visual,,,Symbolic,,,,2,Exocentric,Headcentric - Egocentric,,Context,Direction,Position,Proximity,,,Discover,,Multiple,Overlaid,IPad Search,"Users preferred visual attributes that minimize screen intrusion, indicating that while effective, the intrusiveness of the visual cue is a critical factor in user preference.",Preference & Effectiveness,"Halo3D effectively displays direction and relative distance of off-screen POIs in environments with high POI density, enhancing spatial awareness without overwhelming the user interface.",12,off screen visual techniques,,Meta-reviews typically would mention how the paper was not completely in English?
20 - Brendan,Birds vs. Fish: Visualizing Out-of-View Objects in Augmented Reality using 3D Minimaps,Top-down Bird's Eye View Minimap,10.1109/ISMAR-Adjunct.2019.00-28,Visual,,,Captured,,,,2,Bodycentric - Egocentric,Exocentric,,Persistent,,Position,Proximity,,,Select,,Single,Overlaid,AR HMD Search and Collect,"The stereographic fisheye minimap had the strongest response, achieving the lowest mean task completion times and the highest user preference ratings. This minimap was particularly praised for helping users understand the height of virtual objects and providing a comprehensive overview of the environment without cut-offs.","Task Completion Time, SUS, & Preference","Provides an undistorted, direct overhead view of the scene, but may cut off edges in non-square or large environments.",6,,,
